symbol,short_name,regular_market_price,regular_market_time,ask,ask_size,average_daily_volume_10_day,average_daily_volume_3_month,bid,bid_size,currency_id,exchange_id,exchange_timezone_name,exchange_timezone_short_name,fifty_day_average,fifty_day_average_change,fifty_day_average_change_percent,fifty_two_week_high,fifty_two_week_high_change,fifty_two_week_high_change_percent,fifty_two_week_low,fifty_two_week_low_change,fifty_two_week_low_change_percent,full_exchange_name,gmt_offset_milliseconds,is_tradeable,market_id,market_state,post_market_change,post_market_change_percent,post_market_price,post_market_time,pre_market_change,pre_market_change_percent,pre_market_price,pre_market_time,quote_delay,quote_source,quote_type,regular_market_change,regular_market_change_percent,regular_market_day_high,regular_market_day_low,regular_market_open,regular_market_previous_close,regular_market_volume,source_interval,two_hundred_day_average,two_hundred_day_average_change,two_hundred_day_average_change_percent,change
CUB.NS,CITY UNION BANK,165.75,2021-07-05 07:34:29,164.05,0,2153521,2514292,164,0,INR,NSI,Asia/Kolkata,IST,169.08,-3.3300018,-0.01969483,200,-34.25,-0.17125,115.6,50.15,0.43382356,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,1.5,0.913242,166.85,164.25,165.8,164.25,662286,15,169.6588,-3.9087982,-0.023039171,17.125
DALALSTCOM.NS,DSJ COMMUNICATION,1.6,2021-07-05 07:10:12,0,0,55886,27088,1.55,0,INR,NSI,Asia/Kolkata,IST,0.95714283,0.6428572,0.6716419,1.6,0,0,0.65,0.95000005,1.4615386,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,0.05000007,3.2258112,1.6,1.6,1.55,1.55,35573,15,0.97152776,0.62847227,0.6468907,0
DCBBANK.NS,DCB BANK LIMITED,105.45,2021-07-05 07:34:46,103.3,0,1095016,2238420,103.2,0,INR,NSI,Asia/Kolkata,IST,105.08,0.36999512,0.0035210801,126.5,-21.050003,-0.16640319,74.3,31.149994,0.4192462,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,1.75,1.6875602,105.95,104.2,102.9,103.7,848994,15,107.396126,-1.9461288,-0.018121034,16.640316205533594
DEN.NS,DEN NETWORKS LTD,55.9,2021-07-05 07:34:22,54.8,0,2085704,6070967,54.7,0,INR,NSI,Asia/Kolkata,IST,54.234287,1.6657143,0.030713307,115.05,-59.15,-0.5141243,41.55,14.350002,0.3453671,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,1.1500015,2.1004596,56.35,54.8,55.2,54.75,1264115,15,55.692253,0.20774841,0.003730293,51.41242937853107
DHANI.NS,DHANI SERVICES LIMITED,177.4,2021-07-05 07:34:52,175.1,0,827584,1402326,175,0,INR,NSI,Asia/Kolkata,IST,183.29428,-5.894287,-0.032157507,395.95,-218.55002,-0.5519637,104.85,72.549995,0.69194084,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,2.3499908,1.3424684,180.4,174.9,176.5,175.05,572924,15,255.5074,-78.10741,-0.3056953,55.196363177168834
DHFL.NS,DEWAN HOUSING FIN,16.7,2021-06-11 09:59:56,0,0,0,1609815,0,0,INR,NSI,Asia/Kolkata,IST,17.415714,-0.7157135,-0.041095845,42.85,-26.149998,-0.61026835,12.05,4.6500006,0.38589215,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,0,0,16.7,16.7,16.7,16.7,2454074,15,19.522888,-2.8228874,-0.14459375,61.026837806301046
DIAMONDYD.NS,PRATAAP SNACKS LTD,688.2,2021-07-05 07:34:45,680.15,0,56488,35705,678.9,0,INR,NSI,Asia/Kolkata,IST,621.27856,66.92145,0.10771569,760.45,-72.25,-0.095009536,521,167.20001,0.32092133,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,8.950012,1.3176316,699,679.05,666,679.25,52549,15,628.92004,59.27997,0.094256766,9.500953382865408
DIGISPICE.NS,DIGISPICE TECHNOLOGIES LT,47.15,2021-07-05 07:34:28,0,0,67740,220231,44.95,0,INR,NSI,Asia/Kolkata,IST,46.36714,0.7828598,0.016883936,114.7,-67.549995,-0.5889276,5.35,41.800003,7.8130846,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,2.2000008,4.8943286,47.15,43.05,43,44.95,106736,15,47.190495,-0.04049301,-0.00085807557,58.892763731473416
DQE.NS,DQ ENTERTAINMENT I,1.05,2021-07-05 07:28:34,0,0,7779,12789,0,0,INR,NSI,Asia/Kolkata,IST,0.9714286,0.07857138,0.0808823,1.8,-0.75,-0.4166667,0.85,0.19999993,0.23529403,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,0,0,1.05,1,1.05,1.05,21465,15,1.1197183,-0.06971836,-0.062264197,41.666666666666664
ESABINDIA.NS,ESAB INDIA,1848,2021-07-05 07:33:22,1843.85,0,5399,10530,1838.05,0,INR,NSI,Asia/Kolkata,IST,1839.8472,8.152832,0.004431255,2150,-302,-0.14046511,1290,558,0.43255815,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,8.400024,0.45662233,1870,1829,1846,1839.6,4732,15,1840.7775,7.222534,0.0039236327,14.046511627906977
