symbol,short_name,change,regular_market_price,fifty_two_week_high,fifty_two_week_low,fifty_day_average,two_hundred_day_average,regular_market_open,regular_market_day_high,regular_market_day_low,regular_market_previous_close,regular_market_volume
V2RETAIL.NS,V2 RETAIL LTD,25.37168713639301,115.45,154.7,44.5,123.71111,125.63426,117.95,118.8,113.45,115.85,13604
VAKRANGEE.NS,VAKRANGEE LTD,48.24624194702935,36.15,69.85,24.5,38.244446,48.843357,31.5,36.15,31.5,30.15,16724902
VARROC.NS,VARROC ENGINEERING,33.19376112216057,319.1,477.65,196.2,351.15973,382.36398,317.2,328.65,315.1,317.25,319107
VERTOZ.NS,Vertoz Advertising Ltd,58.99068322981366,132.05,322,116,158.12361,226.75314,131.25,137.25,131.25,131,124985
VIVIDHA.NS,VISAGAR POLYTEX,57.49999999999999,0.85,2,0.3,0.9236111,0.9255245,0.8,0.85,0.75,0.8,2442245
WANBURY.NS,WANBURY LTD,26.447368421052637,83.85,114,31.5,86.994446,89.46119,78.3,83.85,78.3,79.9,10268
WHIRLPOOL.NS,WHIRLPOOL OF INDIA,28.250807319698595,1999.65,2787,1980.1,2193.1348,2256.2385,2032.6,2054.85,1995.3,2028.95,584329
YAARII.NS,YAARII DIG INTEGR SER LTD,45.13491414554374,100.65,183.45,37.8,105.25,115.12867,95.85,100.65,95,95.9,26547
YESBANK.NS,YES BANK,42.409638554216876,11.95,20.75,11.9,13.094444,14.434615,12,12.15,11.9,11.95,71628761
ZICOM.NS,ZICOM ELECTRONIC S,53.6231884057971,1.6,3.45,1.15,1.4708333,1.6178322,1.6,1.6,1.6,1.6,21541
