SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,TICKER,,,,,,,,,,,,,,,,,
ANKITMETAL,Ankit Metal & Power Limited,BE,14-Mar-2013,10,1,INE106I01010,10,"'ANKITMETAL.NS',",,,,,,,,,,,,,,,,,
ANMOL,Anmol India Limited,EQ,04-Jun-2021,10,1,INE02AR01019,10,"'ANMOL.NS',",,,,,,,,,,,,,,,,,
ANSALAPI,Ansal Properties & Infrastructure Limited,EQ,27-Jan-2006,5,1,INE436A01026,5,"'ANSALAPI.NS',",,,,,,,,,,,,,,,,,
ANSALHSG,Ansal Housing Limited,EQ,06-Oct-2006,10,1,INE880B01015,10,"'ANSALHSG.NS',",,,,,,,,,,,,,,,,,
ANTGRAPHIC,Antarctica Limited,BE,31-Dec-1997,1,1,INE414B01021,1,"'ANTGRAPHIC.NS',",,,,,,,,,,,,,,,,,
ANUP,The Anup Engineering Limited,EQ,01-Mar-2019,10,1,INE294Z01018,10,"'ANUP.NS',",,,,,,,,,,,,,,,,,
ANURAS,Anupam Rasayan India Limited,EQ,24-Mar-2021,10,1,INE930P01018,10,"'ANURAS.NS',",,,,,,,,,,,,,,,,,
APARINDS,Apar Industries Limited,EQ,12-Jul-2004,10,1,INE372A01015,10,"'APARINDS.NS',",,,,,,,,,,,,,,,,,
APCL,Anjani Portland Cement Limited,EQ,10-Apr-2017,10,1,INE071F01012,10,"'APCL.NS',",,,,,,,,,,,,,,,,,
APCOTEXIND,Apcotex Industries Limited,EQ,06-Sep-1995,2,1,INE116A01032,2,"'APCOTEXIND.NS',",,,,,,,,,,,,,,,,,
APEX,Apex Frozen Foods Limited,EQ,04-Sep-2017,10,1,INE346W01013,10,"'APEX.NS',",,,,,,,,,,,,,,,,,
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-Dec-2011,2,1,INE702C01027,2,"'APLAPOLLO.NS',",,,,,,,,,,,,,,,,,
APLLTD,Alembic Pharmaceuticals Limited,EQ,20-Sep-2011,2,1,INE901L01018,2,"'APLLTD.NS',",,,,,,,,,,,,,,,,,
APOLLO,Apollo Micro Systems Limited,EQ,22-Jan-2018,10,1,INE713T01010,10,"'APOLLO.NS',",,,,,,,,,,,,,,,,,
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-Jan-1996,5,1,INE437A01024,5,"'APOLLOHOSP.NS',",,,,,,,,,,,,,,,,,
APOLLOPIPE,Apollo Pipes Limited,EQ,11-Nov-2019,10,1,INE126J01016,10,"'APOLLOPIPE.NS',",,,,,,,,,,,,,,,,,
APOLLOTYRE,Apollo Tyres Limited,EQ,31-May-1995,1,1,INE438A01022,1,"'APOLLOTYRE.NS',",,,,,,,,,,,,,,,,,
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-Jan-2015,5,1,INE451F01024,5,"'APOLSINHOT.NS',",,,,,,,,,,,,,,,,,
APTECHT,Aptech Limited,EQ,27-Sep-2002,10,1,INE266F01018,10,"'APTECHT.NS',",,,,,,,,,,,,,,,,,
ARCHIDPLY,Archidply Industries Limited,BE,04-Jul-2008,10,1,INE877I01016,10,"'ARCHIDPLY.NS',",,,,,,,,,,,,,,,,,
ARCHIES,Archies Limited,EQ,02-Sep-1998,2,1,INE731A01020,2,"'ARCHIES.NS',",,,,,,,,,,,,,,,,,
ARCOTECH,Arcotech Limited,BZ,16-Apr-2014,2,1,INE574I01035,2,"'ARCOTECH.NS',",,,,,,,,,,,,,,,,,
ARENTERP,Rajdarshan Industries Limited,EQ,18-Oct-1995,10,1,INE610C01014,10,"'ARENTERP.NS',",,,,,,,,,,,,,,,,,
ARIES,Aries Agro Limited,EQ,11-Jan-2008,10,1,INE298I01015,10,"'ARIES.NS',",,,,,,,,,,,,,,,,,
ARIHANT,Arihant Foundations & Housing Limited,EQ,26-Dec-2006,10,1,INE413D01011,10,"'ARIHANT.NS',",,,,,,,,,,,,,,,,,
ARIHANTSUP,Arihant Superstructures Limited,BE,28-Mar-2017,10,1,INE643K01018,10,"'ARIHANTSUP.NS',",,,,,,,,,,,,,,,,,
ARMANFIN,Arman Financial Services Limited,EQ,14-Jun-2016,10,1,INE109C01017,10,"'ARMANFIN.NS',",,,,,,,,,,,,,,,,,
AROGRANITE,Aro Granite Industries Limited,EQ,24-Apr-2007,10,1,INE210C01013,10,"'AROGRANITE.NS',",,,,,,,,,,,,,,,,,
ARROWGREEN,Arrow Greentech Limited,BE,21-May-2015,10,1,INE570D01018,10,"'ARROWGREEN.NS',",,,,,,,,,,,,,,,,,
ARSHIYA,Arshiya Limited,EQ,14-Dec-2009,2,1,INE968D01022,2,"'ARSHIYA.NS',",,,,,,,,,,,,,,,,,
ARSSINFRA,ARSS Infrastructure Projects Limited,BE,03-Mar-2010,10,1,INE267I01010,10,"'ARSSINFRA.NS',",,,,,,,,,,,,,,,,,
ARTEMISMED,Artemis Medicare Services Limited,BE,23-Jan-2020,10,1,INE025R01013,10,"'ARTEMISMED.NS',",,,,,,,,,,,,,,,,,
ARVEE,Arvee Laboratories (India) Limited,BE,22-Mar-2021,10,1,INE006Z01016,10,"'ARVEE.NS',",,,,,,,,,,,,,,,,,
ARVIND,Arvind Limited,EQ,08-Feb-1995,10,1,INE034A01011,10,"'ARVIND.NS',",,,,,,,,,,,,,,,,,
ARVINDFASN,Arvind Fashions Limited,EQ,08-Mar-2019,4,1,INE955V01021,4,"'ARVINDFASN.NS',",,,,,,,,,,,,,,,,,
ARVSMART,Arvind SmartSpaces Limited,EQ,26-Aug-2015,10,1,INE034S01021,10,"'ARVSMART.NS',",,,,,,,,,,,,,,,,,
ASAHIINDIA,Asahi India Glass Limited,EQ,18-Mar-1998,1,1,INE439A01020,1,"'ASAHIINDIA.NS',",,,,,,,,,,,,,,,,,
ASAHISONG,Asahi Songwon Colors Limited,EQ,29-Aug-2011,10,1,INE228I01012,10,"'ASAHISONG.NS',",,,,,,,,,,,,,,,,,
ASAL,Automotive Stampings and Assemblies Limited,EQ,12-Mar-2002,10,1,INE900C01027,10,"'ASAL.NS',",,,,,,,,,,,,,,,,,
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,12-Feb-2020,10,1,INE073G01016,10,"'ASALCBR.NS',",,,,,,,,,,,,,,,,,
ASHAPURMIN,Ashapura Minechem Limited,EQ,20-Sep-1995,2,1,INE348A01023,2,"'ASHAPURMIN.NS',",,,,,,,,,,,,,,,,,
ASHIANA,Ashiana Housing Limited,EQ,29-Jun-2011,2,1,INE365D01021,2,"'ASHIANA.NS',",,,,,,,,,,,,,,,,,
ASHIMASYN,Ashima Limited,BE,27-Jul-1995,10,1,INE440A01010,10,"'ASHIMASYN.NS',",,,,,,,,,,,,,,,,,
ASHOKA,Ashoka Buildcon Limited,EQ,14-Oct-2010,5,1,INE442H01029,5,"'ASHOKA.NS',",,,,,,,,,,,,,,,,,
ASHOKLEY,Ashok Leyland Limited,EQ,25-May-1995,1,1,INE208A01029,1,"'ASHOKLEY.NS',",,,,,,,,,,,,,,,,,
ASIANHOTNR,Asian Hotels (North) Limited,EQ,07-Apr-2010,10,1,INE363A01022,10,"'ASIANHOTNR.NS',",,,,,,,,,,,,,,,,,
ASIANPAINT,Asian Paints Limited,EQ,31-May-1995,1,1,INE021A01026,1,"'ASIANPAINT.NS',",,,,,,,,,,,,,,,,,
ASIANTILES,Asian Granito India Limited,EQ,23-Aug-2007,10,1,INE022I01019,10,"'ASIANTILES.NS',",,,,,,,,,,,,,,,,,
ASPINWALL,Aspinwall and Company Limited,EQ,14-Jun-2016,10,1,INE991I01015,10,"'ASPINWALL.NS',",,,,,,,,,,,,,,,,,
ASTEC,Astec LifeSciences Limited,EQ,25-Nov-2009,10,1,INE563J01010,10,"'ASTEC.NS',",,,,,,,,,,,,,,,,,
ASTERDM,Aster DM Healthcare Limited,EQ,26-Feb-2018,10,1,INE914M01019,10,"'ASTERDM.NS',",,,,,,,,,,,,,,,,,
